                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.47557,                0.51134,                0.96743,                0.97514,                0.98073,                 0.9925,                0.90364,                0.43213,                0.29014,                0.91759,             0.00013053,             0.00013053,             0.00013053
                     79,                0.47418,                0.49988,                0.96247,                0.98476,                0.97485,                0.99124,                0.90433,                0.42379,                0.29026,                0.91109,             0.00012996,             0.00012996,             0.00012996
                     80,                0.46554,                0.50249,                0.95861,                0.98567,                0.97718,                0.99019,                0.90545,                0.42961,                0.29253,                0.91543,             0.00012938,             0.00012938,             0.00012938
                     81,                0.46784,                0.48923,                0.95717,                0.97809,                0.98078,                0.99185,                0.89738,                0.43807,                0.28887,                0.92298,              0.0001288,              0.0001288,              0.0001288
                     82,                0.47059,                0.49018,                0.95727,                 0.9768,                 0.9881,                0.99258,                 0.9051,                0.43459,                0.28488,                0.92052,             0.00012822,             0.00012822,             0.00012822
                     83,                0.47739,                0.49987,                0.96095,                0.97998,                0.98564,                0.99263,                0.90513,                0.42442,                0.29192,                0.91471,             0.00012765,             0.00012765,             0.00012765
                     84,                0.46998,                 0.4949,                0.95714,                0.98013,                0.98628,                0.99305,                0.90455,                0.43306,                0.28337,                0.92328,             0.00012707,             0.00012707,             0.00012707
                     85,                0.47237,                0.50028,                0.96415,                0.98481,                0.98286,                0.99359,                 0.9059,                 0.4238,                0.29216,                0.91117,             0.00012649,             0.00012649,             0.00012649
                     86,                0.47442,                0.49808,                0.96385,                0.97946,                0.98408,                0.99322,                0.90182,                0.43977,                0.28618,                0.92367,             0.00012591,             0.00012591,             0.00012591
                     87,                0.48316,                0.50216,                0.96205,                0.98762,                0.97957,                0.99331,                0.90492,                0.42284,                0.28742,                0.91103,             0.00012534,             0.00012534,             0.00012534
                     88,                0.47542,                0.49477,                0.96298,                0.98468,                0.97574,                0.99319,                0.90672,                0.42481,                0.29285,                0.91408,             0.00012476,             0.00012476,             0.00012476
                     89,                  0.463,                0.47646,                0.95105,                0.98618,                0.97893,                0.99364,                0.90584,                0.42961,                 0.2899,                0.91289,             0.00012418,             0.00012418,             0.00012418
                     90,                 0.4697,                0.49426,                0.96256,                0.98804,                0.98208,                0.99263,                0.90753,                0.42658,                0.28445,                0.91153,              0.0001236,              0.0001236,              0.0001236
